id,accession_number,artist,artistRole,artistId,title,dateText,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,thumbnailUrl,url,broad_category,hierarchical_label,local_path
42931,D15575,"Turner, Joseph Mallord William",artist,558,Part of a View of Lake Nemi with the Towns of Nemi and Genzano,1819,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1819.0,1856.0,support: 122 x 197 mm,122.0,197.0,,mm,https://public.opendatasoft.com/api/explore/v2.1/catalog/datasets/the-tate-collection/files/2673d734a0b06248d24d38d94995537b,http://www.tate.org.uk/art/artworks/turner-part-of-a-view-of-lake-nemi-with-the-towns-of-nemi-and-genzano-d15575,Graphite,Graphite > Graphite on paper,D:/venv sa python 3.9/tate_images\2673d734a0b06248d24d38d94995537b
35128,D07739,"Turner, Joseph Mallord William",artist,558,Notes from The Elements of Architecture by Sir Henry Wotton (Inscription by Turner),circa 180911,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1809.0,1856.0,support: 88 x 110 mm,88.0,110.0,,mm,https://public.opendatasoft.com/api/explore/v2.1/catalog/datasets/the-tate-collection/files/ee2e988bfc0d2576358fae0666d2709a,http://www.tate.org.uk/art/artworks/turner-notes-from-the-elements-of-architecture-by-sir-henry-wotton-inscription-by-turner-d07739,Graphite,Graphite > Graphite on paper,D:/venv sa python 3.9/tate_images\ee2e988bfc0d2576358fae0666d2709a
28444,D01033,"Turner, Joseph Mallord William",artist,558,"Derwentwater, from near Boat Landing, ?Looking to Swinside",1797,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1797.0,1856.0,support: 368 x 262 mm,368.0,262.0,,mm,https://public.opendatasoft.com/api/explore/v2.1/catalog/datasets/the-tate-collection/files/beee78c26ceeac4b7ebb6de37b2a576c,http://www.tate.org.uk/art/artworks/turner-derwentwater-from-near-boat-landing-looking-to-swinside-d01033,Graphite,Graphite > Graphite on paper,D:/venv sa python 3.9/tate_images\beee78c26ceeac4b7ebb6de37b2a576c
38265,D10890,"Turner, Joseph Mallord William",artist,558,"Bilton Hall, Bilton in Ainsty, from the West",1816,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1816.0,1856.0,support: 154 x 97 mm,154.0,97.0,,mm,https://public.opendatasoft.com/api/explore/v2.1/catalog/datasets/the-tate-collection/files/ddca755afe006c9d9c4116c2dc731bea,http://www.tate.org.uk/art/artworks/turner-bilton-hall-bilton-in-ainsty-from-the-west-d10890,Graphite,Graphite > Graphite on paper,D:/venv sa python 3.9/tate_images\ddca755afe006c9d9c4116c2dc731bea
61609,D34441,"Turner, Joseph Mallord William",artist,558,Distant City,c.183041,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1830.0,1856.0,support: 240 x 174 mm,240.0,174.0,,mm,https://public.opendatasoft.com/api/explore/v2.1/catalog/datasets/the-tate-collection/files/523f4cdaf4cb392c45e11ab3f1fe61e2,http://www.tate.org.uk/art/artworks/turner-distant-city-d34441,Graphite,Graphite > Graphite on paper,D:/venv sa python 3.9/tate_images\523f4cdaf4cb392c45e11ab3f1fe61e2
48555,D21212,"Turner, Joseph Mallord William",artist,558,Buildings on Coast. Le R. [Turner],c.1828,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1828.0,1856.0,support: 179 x 113 mm,179.0,113.0,,mm,https://public.opendatasoft.com/api/explore/v2.1/catalog/datasets/the-tate-collection/files/2d6a4536291311e78a1a53c76c29cb52,http://www.tate.org.uk/art/artworks/turner-buildings-on-coast-le-r-turner-d21212,Graphite,Graphite > Graphite on paper,D:/venv sa python 3.9/tate_images\2d6a4536291311e78a1a53c76c29cb52
64991,D41293,"Turner, Joseph Mallord William",artist,558,Treryn Dinas,1811,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1811.0,1856.0,support: 141 x 215 mm,141.0,215.0,,mm,https://public.opendatasoft.com/api/explore/v2.1/catalog/datasets/the-tate-collection/files/ce9b9ba27caead19d6e62e22b74df775,http://www.tate.org.uk/art/artworks/turner-treryn-dinas-d41293,Graphite,Graphite > Graphite on paper,D:/venv sa python 3.9/tate_images\ce9b9ba27caead19d6e62e22b74df775
28074,D00659,"Turner, Joseph Mallord William",artist,558,Oxford: The Front of Christ Church,1795,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1795.0,1856.0,support: 203 x 264 mm,203.0,264.0,,mm,https://public.opendatasoft.com/api/explore/v2.1/catalog/datasets/the-tate-collection/files/2ce872a3879d68da11c8cccbc0173c57,http://www.tate.org.uk/art/artworks/turner-oxford-the-front-of-christ-church-d00659,Graphite,Graphite > Graphite on paper,D:/venv sa python 3.9/tate_images\2ce872a3879d68da11c8cccbc0173c57
59198,D31979,"Turner, Joseph Mallord William",artist,558,?On the Grand Canal,1833,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1833.0,1856.0,support: 203 x 109 mm,203.0,109.0,,mm,https://public.opendatasoft.com/api/explore/v2.1/catalog/datasets/the-tate-collection/files/b1ccd54c2222f7a1d59971c50af01b4e,http://www.tate.org.uk/art/artworks/turner-on-the-grand-canal-d31979,Graphite,Graphite > Graphite on paper,D:/venv sa python 3.9/tate_images\b1ccd54c2222f7a1d59971c50af01b4e
56823,D29560,"Turner, Joseph Mallord William",artist,558,Volx [Turner],c.183540,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1835.0,1856.0,support: 146 x 103 mm,146.0,103.0,,mm,https://public.opendatasoft.com/api/explore/v2.1/catalog/datasets/the-tate-collection/files/8a269597d73eeece71d9e71efe57cc0b,http://www.tate.org.uk/art/artworks/turner-volx-turner-d29560,Graphite,Graphite > Graphite on paper,D:/venv sa python 3.9/tate_images\8a269597d73eeece71d9e71efe57cc0b
